"Country or Area";"Value"
"Iraq";"0.00"
"Ireland";"74.00"
"Isle of Man";"19.80"
"Israel";"0.00"
"Italy";"2434.50"
"Jamaica";"13.13"
"Japan";"1001.00"
"Jordan";"0.00"
"Kazakhstan";"2883.85"
"Kenya";"953.90"
"Kiribati";"0.22"
"Kuwait";"0.88"
"Kyrgyzstan";"282.89"
"Lao People's Democratic Republic";"0.00"
"Latvia";"296.60"
"Lebanon";"0.00"
"Lesotho";"0.00"
"Liberia";"54.72"
"Libya";"188.22"
"Liechtenstein";"0.19"
"Lithuania";"239.20"
"Luxembourg";"13.21"
"Madagascar";"328.30"
"Malawi";"437.73"
"Malaysia";"92.00"
"Maldives";"0.43"
"Mali";"361.00"
"Malta";"0.00"
"Marshall Islands";"0.05"
"Martinique";"0.20"
"Mauritania";"49.24"
"Mauritius";"8.21"
"Mayotte";"2.25"
"Mexico";"1909.00"
"Micronesia (Federated States of)";"0.22"
"Mongolia";"0.00"
"Montenegro";"1.40"
"Montserrat";"0.22"
"Morocco";"466.00"
"Mozambique";"873.28"
"Myanmar";"0.00"
"Namibia";"87.55"
"Nepal";"8.20"
"Netherlands (Kingdom of the)";"213.00"
"New Caledonia";"0.00"
"New Zealand";"67.41"
"Nicaragua";"0.00"
"Niger";"1936.95"
"Nigeria";"4034.99"
"Niue";"0.18"
"North Macedonia";"0.00"
"Northern Mariana Islands";"0.01"
"Norway";"478.00"
"Oman";"46.53"
"Pakistan";"1923.38"
"Palau";"0.03"
"Palestine";"0.46"
"Panama";"24.57"
"Papua New Guinea";"36.22"
"Paraguay";"0.00"
"Peru";"157.89"
"Philippines";"29.11"
"Poland";"0.00"
"Portugal";"105.71"
"Puerto Rico";"14.05"
"Qatar";"0.00"
"Republic of Korea";"82.48"
"Republic of Moldova";"0.00"
"Réunion";"1.40"
"Romania";"881.00"
"Russian Federation";"43726.80"
"Rwanda";"10.00"
"Saint Helena, Ascension and Tristan da Cunha";"0.44"
"Saint Kitts and Nevis";"0.00"
"Saint Lucia";"0.29"
"Saint Pierre and Miquelon";"0.22"
"Saint Vincent and the Grenadines";"0.22"
"Samoa";"0.00"
"San Marino";"0.22"
"Sao Tome and Principe";"0.44"
"Saudi Arabia";"125.70"
"Senegal";"0.00"
"Serbia";"0.00"
"Seychelles";"0.00"
"Sierra Leone";"173.34"
"Singapore";"0.06"
"Slovakia";"56.00"
"Slovenia";"22.79"
"Solomon Islands";"2.52"
"Somalia";"120.38"
"South Africa";"19.15"
"South Sudan";"262.06"
"Spain";"1135.17"
"Sri Lanka";"18.79"
"Sudan";"54.00"
"Suriname";"6.35"
"Sweden";"1064.81"
"Switzerland";"118.97"
"Syrian Arab Republic";"0.00"
"Tajikistan";"0.00"
"Thailand";"3542.09"
"Timor-Leste";"0.32"
"Togo";"290.00"
"Tonga";"1.20"
"Trinidad and Tobago";"2.74"
"Tunisia";"0.00"
"Türkiye";"0.00"
"Turkmenistan";"212.30"
"Turks and Caicos Islands";"0.11"
"Uganda";"755.08"
"Ukraine";"819.00"
"United Arab Emirates";"0.00"
"United Kingdom of Great Britain and Northern Ireland";"1216.83"
"United Republic of Tanzania";"877.50"
"United States of America";"5595.40"
"United States Virgin Islands";"0.10"
"Uruguay";"540.00"
"Uzbekistan";"439.49"
"Vanuatu";"2.19"
"Venezuela (Bolivarian Republic of)";"284.52"
"Viet Nam";"0.00"
"Wallis and Futuna Islands";"0.11"
"Western Sahara";"0.44"
"Yemen";"18.00"
"Zambia";"415.84"
"Zimbabwe";"437.73"
